index,date,value,amount
HNX 30,2017-01-03,145.99,17.87K
HNX 30,2017-01-04,146.78,12.82K
HNX 30,2017-01-05,146.21,11.15K
HNX 30,2017-01-06,147.63,13.54K
HNX 30,2017-01-09,149.06,13.74K
HNX 30,2017-01-10,150.25,16.19K
HNX 30,2017-01-11,150.58,9.46K
HNX 30,2017-01-12,150.57,9.85K
HNX 30,2017-01-13,150.29,11.24K
HNX 30,2017-01-16,149.14,9.36K
HNX 30,2017-01-17,150.2,8.27K
HNX 30,2017-01-18,148.45,8.52K
HNX 30,2017-01-19,147.58,6.53K
HNX 30,2017-01-20,148.81,6.49K
HNX 30,2017-01-23,148.24,6.98K
HNX 30,2017-01-24,149.81,5.90K
HNX 30,2017-01-25,151.36,5.97K
HNX 30,2017-02-02,150.74,6.15K
HNX 30,2017-02-03,151.78,15.38K
HNX 30,2017-02-06,152.9,23.74K
HNX 30,2017-02-07,153.79,24.51K
HNX 30,2017-02-08,153.74,17.98K
HNX 30,2017-02-09,154.1,15.24K
HNX 30,2017-02-10,154.93,18.35K
HNX 30,2017-02-13,157.39,23.36K
HNX 30,2017-02-14,156.78,24.39K
HNX 30,2017-02-15,157.33,18.93K
HNX 30,2017-02-16,155.78,30.59K
HNX 30,2017-02-17,156.07,21.54K
HNX 30,2017-02-20,158.23,26.05K
HNX 30,2017-02-21,158.75,26.28K
HNX 30,2017-02-22,158.57,22.02K
HNX 30,2017-02-23,157.6,19.91K
HNX 30,2017-02-24,157.46,25.19K
HNX 30,2017-02-27,158.29,30.57K
HNX 30,2017-02-28,158.33,30.72K
HNX 30,2017-03-01,157.9,27.44K
HNX 30,2017-03-02,157.97,26.36K
HNX 30,2017-03-03,156.95,16.60K
HNX 30,2017-03-06,157.33,25.07K
HNX 30,2017-03-07,157.76,23.86K
HNX 30,2017-03-08,158.89,25.29K
HNX 30,2017-03-09,158.68,21.12K
HNX 30,2017-03-10,159.27,24.87K
HNX 30,2017-03-13,157.2,26.55K
HNX 30,2017-03-14,157.91,21.34K
HNX 30,2017-03-15,157.93,21.74K
HNX 30,2017-03-16,159.97,23.02K
HNX 30,2017-03-17,160.58,32.31K
HNX 30,2017-03-20,161.93,25.22K
