"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2023","220.76","219.87","223.16","219.73","68.58K","0.40%"
"01/19/2023","219.87","217.73","219.87","217.49","69.38K","0.98%"
"01/18/2023","217.73","215.15","218.16","215.15","75.30K","1.20%"
"01/17/2023","215.15","210.87","215.15","210.17","64.68K","2.02%"
"01/16/2023","210.88","211.26","211.97","210.02","36.79K","-0.18%"
"01/13/2023","211.26","211.94","213.68","210.72","58.74K","-0.32%"
"01/12/2023","211.94","211.67","213.09","210.77","49.52K","0.13%"
"01/11/2023","211.67","210.78","213.07","209.50","58.73K","0.49%"
"01/10/2023","210.63","209.40","211.17","207.21","46.34K","0.46%"
"01/09/2023","209.67","210.71","212.96","208.81","41.62K","-0.47%"
"01/06/2023","210.65","212.92","214.58","210.10","58.61K","-1.15%"
"01/05/2023","213.11","212.91","214.70","211.35","52.76K","0.02%"
"01/04/2023","213.06","212.72","215.27","211.24","66.30K","0.24%"
"01/03/2023","212.56","205.07","212.56","204.71","66.64K","3.53%"
"12/30/2022","205.31","206.54","207.66","204.69","35.58K","-0.60%"
"12/29/2022","206.54","206.03","206.57","203.10","41.26K","0.24%"
"12/28/2022","206.04","203.14","206.30","202.79","43.90K","1.43%"
"12/27/2022","203.14","198.50","203.14","197.09","58.87K","2.34%"
"12/26/2022","198.50","205.30","205.81","197.95","80.86K","-3.31%"
"12/23/2022","205.30","205.79","206.49","203.00","46.25K","-0.24%"
"12/22/2022","205.79","203.24","206.79","201.33","55.59K","0.65%"
"12/21/2022","204.46","207.33","208.63","200.47","84.04K","-1.48%"
"12/20/2022","207.53","211.19","213.69","204.17","117.88K","-2.22%"
"12/19/2022","212.24","212.99","217.48","212.24","101.62K","-0.35%"
"12/16/2022","212.99","212.95","215.25","211.35","101.71K","0.02%"
"12/15/2022","212.95","213.21","214.69","210.74","71.51K","-0.12%"
"12/14/2022","213.21","213.59","217.23","211.93","85.55K","-0.18%"
"12/13/2022","213.59","209.88","213.75","206.34","95.48K","1.45%"
"12/12/2022","210.53","217.00","219.48","210.53","114.75K","-2.98%"
"12/09/2022","217.00","215.38","217.60","213.71","101.11K","0.76%"
"12/08/2022","215.37","209.82","216.69","208.78","100.42K","2.59%"
"12/07/2022","209.93","212.80","214.22","208.05","112.94K","-1.35%"
"12/06/2022","212.80","219.73","221.84","212.80","186.74K","-3.26%"
"12/05/2022","219.96","216.55","222.34","216.53","118.92K","1.85%"
"12/02/2022","215.96","211.01","216.04","208.19","135.17K","2.35%"
"12/01/2022","211.00","208.98","214.73","208.54","136.72K","1.06%"
"11/30/2022","208.79","207.41","210.89","204.41","88.05K","0.27%"
"11/29/2022","208.22","204.22","208.49","202.42","152.08K","2.04%"
"11/28/2022","204.06","196.93","204.10","196.48","77.54K","3.70%"
"11/25/2022","196.77","190.75","196.80","189.35","56.23K","2.90%"
"11/24/2022","191.22","191.00","191.81","188.48","58.28K","0.12%"
"11/23/2022","191.00","194.60","195.85","191.00","56.02K","-1.88%"
"11/22/2022","194.66","192.37","197.98","190.95","99.13K","1.17%"
"11/21/2022","192.40","190.14","193.73","187.99","52.05K","0.80%"
"11/18/2022","190.87","187.12","190.88","183.43","97.21K","1.60%"
"11/17/2022","187.86","183.93","188.77","181.73","70.44K","2.40%"
"11/16/2022","183.45","175.67","183.50","168.16","101.41K","4.36%"
"11/15/2022","175.78","183.39","183.39","174.34","58.22K","-4.18%"
"11/14/2022","183.45","189.76","189.76","182.40","65.56K","-3.35%"
"11/11/2022","189.81","191.68","193.69","188.97","77.91K","-1.34%"
"11/10/2022","192.39","201.34","201.34","191.89","59.89K","-4.47%"
"11/09/2022","201.39","199.19","203.52","198.35","44.35K","0.81%"
"11/08/2022","199.77","198.64","199.78","195.43","51.55K","0.61%"
"11/07/2022","198.56","203.73","205.10","198.11","62.80K","-2.93%"
"11/04/2022","204.56","210.54","210.84","203.25","73.07K","-2.93%"
"11/03/2022","210.74","211.66","211.78","209.80","37.23K","-0.43%"
"11/02/2022","211.66","212.29","213.94","211.27","47.36K","-0.33%"
"11/01/2022","212.36","210.43","213.27","209.69","53.69K","0.92%"
"10/31/2022","210.43","213.77","215.12","208.29","50.81K","-1.54%"
"10/28/2022","213.73","212.77","217.11","212.42","55.70K","0.05%"
"10/27/2022","213.63","205.11","213.63","201.94","55.28K","3.73%"
"10/26/2022","205.95","207.55","209.78","204.50","39.38K","-1.00%"
"10/25/2022","208.02","209.43","211.24","203.44","73.56K","-0.71%"
"10/24/2022","209.50","217.45","218.69","208.17","63.70K","-3.64%"
"10/21/2022","217.41","225.76","226.02","216.34","88.61K","-3.75%"
"10/20/2022","225.88","227.90","228.52","224.90","32.30K","-0.89%"
"10/19/2022","227.90","229.12","230.61","227.20","37.26K","-0.53%"
"10/18/2022","229.12","225.98","231.61","225.98","54.94K","1.17%"
"10/17/2022","226.46","228.01","228.01","223.84","43.31K","-0.63%"
"10/14/2022","227.89","224.69","229.58","224.69","66.73K","1.40%"
"10/13/2022","224.74","223.54","224.94","222.91","32.69K","0.59%"
"10/12/2022","223.43","218.45","225.09","215.84","50.73K","2.13%"
"10/11/2022","218.78","229.62","230.19","218.74","73.87K","-4.82%"
"10/10/2022","229.85","226.09","230.24","222.21","59.48K","1.66%"
"10/07/2022","226.09","235.13","235.25","222.92","83.77K","-3.84%"
"10/06/2022","235.13","242.00","243.44","233.66","50.76K","-2.89%"
"10/05/2022","242.12","235.58","242.58","234.35","48.96K","2.76%"
"10/04/2022","235.61","238.13","241.82","235.01","56.10K","-1.07%"
"10/03/2022","238.17","249.35","250.08","238.16","60.13K","-4.83%"
"09/30/2022","250.25","249.41","250.25","241.50","74.09K","0.34%"
"09/29/2022","249.41","252.34","255.92","249.25","50.66K","-1.17%"
"09/28/2022","252.35","255.52","255.66","251.99","61.47K","-1.24%"
"09/27/2022","255.52","255.68","257.00","253.88","45.85K","-0.06%"
"09/26/2022","255.68","263.42","264.37","251.62","82.32K","-3.31%"
"09/23/2022","264.44","264.62","268.13","264.34","56.08K","-0.45%"
"09/22/2022","265.64","264.84","265.64","260.92","56.74K","0.21%"
"09/21/2022","265.09","266.91","266.98","263.48","41.20K","-0.68%"
"09/20/2022","266.91","264.22","267.67","262.78","56.35K","1.01%"
"09/19/2022","264.25","273.03","275.06","263.09","84.46K","-3.16%"
"09/16/2022","272.88","278.25","280.35","272.82","76.42K","-2.43%"
"09/15/2022","279.69","277.98","281.18","277.94","50.63K","0.10%"
"09/14/2022","279.42","281.23","281.24","276.45","71.13K","-0.77%"
"09/13/2022","281.59","283.11","284.50","279.57","54.71K","-0.53%"
"09/12/2022","283.08","284.64","286.79","282.93","51.31K","-0.54%"
"09/09/2022","284.63","281.88","284.70","278.20","68.60K","0.88%"
"09/08/2022","282.15","284.05","285.95","281.48","79.74K","-0.67%"
"09/07/2022","284.05","293.27","293.29","284.05","100.65K","-3.14%"
"09/06/2022","293.27","292.82","294.67","292.58","67.41K","0.15%"
"09/05/2022","292.82","291.92","294.55","290.26","62.65K","0.31%"
"08/31/2022","291.92","293.86","294.03","291.56","66.22K","-0.66%"
"08/30/2022","293.86","295.54","297.88","293.52","66.15K","-0.57%"
"08/29/2022","295.54","299.50","299.50","288.94","127.27K","-1.32%"
