"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2023","602.60","600.41","603.49","599.49","1.83B","0.55%"
"01/26/2023","599.29","602.52","605.36","597.99","1.06B","-0.20%"
"01/25/2023","600.48","605.62","606.66","600.01","1.56B","-0.59%"
"01/24/2023","604.04","603.10","607.71","602.78","856.92M","0.50%"
"01/23/2023","601.05","597.69","603.34","596.04","1.15B","1.06%"
"01/20/2023","594.73","594.42","596.70","591.51","938.34M","0.18%"
"01/19/2023","593.69","595.21","597.22","592.77","2.13B","-0.23%"
"01/18/2023","595.03","595.49","598.39","592.67","1.47B","0.23%"
"01/17/2023","593.64","594.21","596.24","592.27","1.37B","0.19%"
"01/16/2023","592.53","591.31","595.43","590.71","1.53B","0.49%"
"01/13/2023","589.66","589.71","597.04","585.88","1.35B","0.41%"
"01/12/2023","587.26","585.15","591.16","584.09","1.08B","0.59%"
"01/11/2023","583.79","586.51","588.87","582.07","1.15B","-0.09%"
"01/10/2023","584.33","586.90","588.72","582.28","770.06M","-0.26%"
"01/09/2023","585.85","579.63","587.06","579.49","994.91M","1.75%"
"01/06/2023","575.78","573.37","578.83","573.22","863.01M","0.59%"
"01/05/2023","572.40","578.38","580.20","572.39","699.82M","-0.67%"
"01/04/2023","576.28","582.77","583.50","575.43","742.28M","-0.88%"
"01/03/2023","581.38","586.26","590.64","580.91","668.37M","-0.48%"
"12/30/2022","584.16","585.84","589.13","582.70","1.15B","-0.16%"
"12/29/2022","585.08","575.93","585.68","575.91","980.79M","1.58%"
"12/28/2022","575.99","573.86","578.61","571.93","630.45M","0.44%"
"12/27/2022","573.49","567.90","574.76","567.47","576.41M","1.03%"
"12/26/2022","567.66","563.15","568.38","563.04","616.72M","1.12%"
"12/23/2022","561.40","560.78","563.29","559.98","768.92M","-0.27%"
"12/22/2022","562.94","566.53","569.43","562.58","783.79M","-0.41%"
"12/21/2022","565.28","562.22","568.22","562.16","1.11B","0.77%"
"12/20/2022","560.96","567.47","567.87","557.04","643.44M","-1.01%"
"12/19/2022","566.68","570.77","572.26","565.67","578.00M","-0.76%"
"12/16/2022","571.03","572.68","575.41","569.58","667.78M","-0.57%"
"12/15/2022","574.30","578.93","581.99","573.77","932.16M","-0.94%"
"12/14/2022","579.75","578.93","582.43","578.77","859.11M","0.25%"
"12/13/2022","578.29","581.25","582.59","575.83","756.75M","-0.53%"
"12/09/2022","581.37","581.63","584.57","579.49","843.79M","0.24%"
"12/08/2022","579.96","576.59","579.96","573.20","895.21M","0.72%"
"12/07/2022","575.83","578.60","583.17","574.48","2.03B","-0.52%"
