"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2023","1,069.79","1,058.06","1,069.79","1,046.50","461.80K","0.97%"
"01/30/2023","1,059.49","1,074.38","1,074.68","1,059.49","515.12K","-1.24%"
"01/27/2023","1,072.82","1,070.53","1,081.67","1,068.60","413.78K","0.87%"
"01/19/2023","1,063.59","1,052.79","1,065.70","1,051.71","424.87K","0.63%"
"01/18/2023","1,056.96","1,050.03","1,058.36","1,047.20","390.61K","1.03%"
"01/17/2023","1,046.19","1,023.39","1,046.19","1,023.39","449.29K","2.43%"
"01/16/2023","1,021.42","1,019.28","1,022.57","1,013.84","288.12K","0.45%"
"01/13/2023","1,016.87","1,019.24","1,024.00","1,011.47","354.59K","0.31%"
"01/12/2023","1,013.73","1,017.33","1,019.72","1,008.01","277.42K","0.00%"
"01/11/2023","1,013.71","1,015.76","1,024.66","1,013.16","377.49K","0.33%"
"01/10/2023","1,010.36","1,012.14","1,014.72","1,001.02","299.88K","-0.03%"
"01/09/2023","1,010.69","1,016.32","1,019.75","1,007.55","278.40K","0.17%"
"01/06/2023","1,008.96","1,012.79","1,025.94","1,005.29","467.83K","-0.47%"
"01/05/2023","1,013.72","1,006.76","1,017.35","1,003.99","360.14K","0.96%"
"01/04/2023","1,004.09","1,005.88","1,012.10","1,000.67","384.29K","0.22%"
"01/03/2023","1,001.87","969.98","1,001.87","969.74","368.22K","3.70%"
"12/30/2022","966.09","971.63","972.64","963.81","241.75K","0.07%"
"12/29/2022","965.40","971.20","977.11","965.40","264.72K","-0.60%"
"12/28/2022","971.26","965.20","977.25","954.30","290.45K","0.92%"
"12/27/2022","962.45","940.12","965.16","937.38","374.11K","2.32%"
"12/26/2022","940.64","982.40","982.92","940.64","409.56K","-4.42%"
"12/23/2022","984.09","987.49","989.26","973.90","313.77K","-0.47%"
"12/22/2022","988.70","985.02","996.09","979.43","399.58K","0.50%"
"12/21/2022","983.76","994.14","994.64","963.62","507.31K","-0.10%"
"12/20/2022","984.79","1,001.90","1,004.43","969.35","693.81K","-1.95%"
"12/19/2022","1,004.38","1,017.91","1,033.49","1,004.38","625.74K","-1.34%"
"12/16/2022","1,018.01","1,011.54","1,028.99","1,009.45","596.82K","-0.15%"
"12/15/2022","1,019.55","1,007.99","1,024.21","1,007.81","501.04K","0.96%"
"12/14/2022","1,009.89","1,008.97","1,023.04","1,006.65","482.45K","0.14%"
"12/13/2022","1,008.45","991.99","1,008.45","981.44","550.54K","1.88%"
"12/12/2022","989.81","1,017.44","1,022.61","989.81","602.76K","-2.18%"
"12/09/2022","1,011.92","1,013.90","1,019.71","998.90","553.02K","0.37%"
"12/08/2022","1,008.16","1,001.93","1,031.18","999.79","648.20K","1.90%"
"12/07/2022","989.35","995.04","1,006.46","980.51","568.13K","-0.91%"
"12/06/2022","998.44","1,042.66","1,044.28","998.44","1.00M","-4.48%"
"12/05/2022","1,045.23","1,030.96","1,052.76","1,030.96","814.72K","1.73%"
"12/02/2022","1,027.49","978.81","1,027.49","976.54","779.10K","4.51%"
"12/01/2022","983.13","999.69","1,012.05","981.05","933.40K","-0.52%"
"11/30/2022","988.24","974.22","988.24","961.36","746.65K","2.06%"
"11/29/2022","968.32","949.15","968.32","936.90","820.98K","2.51%"
"11/28/2022","944.64","919.15","945.09","918.24","661.51K","3.89%"
"11/25/2022","909.27","891.91","909.27","891.59","402.34K","2.84%"
"11/24/2022","884.13","877.01","885.64","868.45","346.49K","0.20%"
"11/23/2022","882.33","884.82","895.48","878.04","354.47K","-0.80%"
"11/22/2022","889.41","894.94","922.23","883.66","751.34K","-0.65%"
"11/21/2022","895.23","906.49","907.94","890.96","371.84K","-1.02%"
"11/18/2022","904.47","899.97","909.54","875.04","619.96K","0.30%"
"11/17/2022","901.73","876.10","905.25","876.10","446.16K","3.04%"
"11/16/2022","875.14","817.43","875.45","803.80","676.33K","3.88%"
"11/15/2022","842.48","858.13","861.61","832.13","424.72K","-3.70%"
"11/14/2022","874.88","886.16","886.16","857.71","437.42K","-1.90%"
"11/11/2022","891.84","895.05","906.79","887.79","478.42K","0.57%"
"11/10/2022","886.76","918.51","918.51","877.19","485.89K","-4.59%"
"11/09/2022","929.42","933.02","944.13","921.44","371.09K","-0.29%"
"11/08/2022","932.11","909.54","932.81","904.23","393.72K","0.67%"
"11/07/2022","925.89","948.75","954.46","923.26","382.70K","-2.95%"
"11/04/2022","954.06","967.11","968.57","933.22","522.55K","-2.70%"
"11/03/2022","980.58","968.78","985.51","967.73","291.05K","-0.12%"
"11/02/2022","981.76","993.39","995.23","978.82","360.64K","-1.18%"
"11/01/2022","993.49","986.76","1,004.41","986.76","442.29K","0.83%"
"10/31/2022","985.36","986.79","991.27","960.60","437.59K","-0.39%"
"10/28/2022","989.18","998.46","1,006.28","986.71","365.38K","-0.08%"
"10/27/2022","990.02","951.81","990.02","946.93","416.49K","4.11%"
"10/26/2022","950.93","957.91","961.52","939.96","242.77K","-0.31%"
"10/25/2022","953.92","936.29","968.70","913.78","492.68K","1.54%"
"10/24/2022","939.43","975.07","977.43","928.48","376.13K","-3.66%"
"10/21/2022","975.11","1,019.10","1,019.10","967.24","456.52K","-4.18%"
"10/20/2022","1,017.68","1,018.29","1,024.69","1,009.02","249.08K","-0.38%"
"10/19/2022","1,021.57","1,027.53","1,028.97","1,013.80","235.67K","-0.43%"
"10/18/2022","1,025.94","1,030.79","1,035.55","1,020.11","322.72K","0.91%"
"10/17/2022","1,016.72","1,015.93","1,016.72","996.45","289.79K","-0.75%"
"10/14/2022","1,024.40","1,028.57","1,032.97","1,019.06","359.96K","1.23%"
"10/13/2022","1,011.97","998.21","1,011.97","987.72","269.25K","1.37%"
"10/12/2022","998.27","965.31","1,001.62","961.81","375.28K","3.41%"
"10/11/2022","965.37","996.33","996.33","953.74","417.92K","-3.72%"
"10/10/2022","1,002.68","984.81","1,012.42","973.93","387.86K","0.33%"
"10/07/2022","999.39","1,020.48","1,022.51","986.79","567.79K","-3.87%"
"10/06/2022","1,039.57","1,075.53","1,077.68","1,036.87","334.87K","-3.23%"
"10/05/2022","1,074.28","1,065.86","1,082.57","1,064.79","266.17K","2.37%"
"10/04/2022","1,049.46","1,071.75","1,074.96","1,043.86","354.51K","-0.88%"
"10/03/2022","1,058.77","1,100.82","1,102.55","1,054.32","338.12K","-4.57%"
"09/30/2022","1,109.45","1,098.67","1,114.38","1,080.28","411.58K","0.33%"
"09/29/2022","1,105.85","1,126.56","1,136.40","1,105.85","264.58K","-1.29%"
"09/28/2022","1,120.32","1,133.15","1,137.42","1,119.19","308.92K","-1.74%"
"09/27/2022","1,140.16","1,148.37","1,152.18","1,139.25","267.08K","-0.44%"
"09/26/2022","1,145.19","1,159.13","1,162.43","1,131.76","476.34K","-2.76%"
"09/23/2022","1,177.67","1,189.31","1,192.39","1,176.01","272.85K","-1.07%"
"09/22/2022","1,190.39","1,175.97","1,190.39","1,171.30","285.31K","0.38%"
"09/21/2022","1,185.93","1,190.90","1,193.20","1,181.25","213.01K","-0.90%"
"09/20/2022","1,196.70","1,189.72","1,196.70","1,176.84","272.78K","1.16%"
"09/19/2022","1,182.99","1,209.16","1,211.05","1,179.52","431.05K","-2.24%"
"09/16/2022","1,210.14","1,221.82","1,224.85","1,206.70","405.72K","-1.17%"
"09/15/2022","1,224.43","1,229.28","1,230.88","1,222.80","264.11K","0.17%"
"09/14/2022","1,222.37","1,209.68","1,223.43","1,208.40","407.41K","-0.46%"
"09/13/2022","1,228.07","1,230.96","1,232.21","1,223.60","292.13K","-0.06%"
