cat_aimc_category_id,cat_name_en,cat_name_th,sub_cat_aimc_category_id,sub_cat_name_en,sub_cat_name_th,sub_cat_risk_level,fund_aimc_category_id,fund_id,is_finnomena_pick,is_in_trending,fund_name,sec_is_active,short_code,short_desc
LC00002467,Miscellaneous,อื่นๆ,LC00002499,Miscellaneous,อื่นๆ,5,LC00002499,F00001DQH5,False,False,กองทุนเปิดพรินซิเพิล เวียดนาม ทริกเกอร์ 7M1,True,PRINCIPAL VNTG7M1,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002634,ASEAN Equity,หุ้นอาเซียน,4,LC00002634,F00001D2BT,False,False,กองทุนเปิดพรินซิเพิล เวียดนาม ไทย ออพพอร์ทูนิตี้ ชนิดสะสมมูลค่า,True,PRINCIPAL VTOPP-A,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002634,ASEAN Equity,หุ้นอาเซียน,4,LC00002634,F00001EALA,False,False,กองทุนเปิดพรินซิเพิล เวียดนาม ไทย ออพพอร์ทูนิตี้ ชนิดผู้ลงทุนพิเศษ,True,PRINCIPAL VTOPP-X,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F00000ZMXD,True,True,กองทุนเปิดพรินซิเพิล เวียดนาม อิควิตี้ ชนิดสะสมมูลค่า,True,PRINCIPAL VNEQ-A,กองทุนมีนโยบายลงทุนในตราสารแห่งทุนที่จดทะเบียนในตลาดหลักทรัพย์หรือมีธุรกิจหลัก ในประเทศเวียดนามที่เชื่อว่ามีศักยภาพในการเติบโตในอนาคต และ/หรือกองทุนรวมอื่นที่มีนโยบายการลงทุนในตราสารแห่งทุน และ/หรือกองทุนรวมอีทีเอฟตราสารทุนต่างประเทศ ที่เน้นลงทุนในตราสารทุนประเทศเวียดนาม
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F0000101BD,False,False,กองทุนเปิด แอสเซทพลัส เวียดนาม โกรท ฟันด์,True,ASP-VIET,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F0000108LF,False,False,กองทุนเปิด วรรณ เวียดนาม อิควิตี้ ชนิดไม่จ่ายเงินปันผล สำหรับผู้ลงทุนทั่วไป,True,ONE-VIETNAM-RA,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F0000109C9,False,False,กองทุนเปิดพรินซิเพิล เวียดนาม อิควิตี้ ชนิดผู้ลงทุนสถาบัน,True,PRINCIPAL VNEQ-I,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F000010F4S,False,False,กองทุนเปิดกรุงศรีเวียดนามอิควิตี้ ชนิดสะสมมูลค่า,True,KFVIET-A,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F000010TRX,False,False,กองทุนเปิด ยูไนเต็ด เวียดนาม ออพพอร์ทูนิตี้ ฟันด์,True,UVO,
LC00002500,Equity,ตราสารทุน (หุ้น),LC00002703,Vietnam Equity,หุ้นเวียดนาม,,LC00002703,F0000118A9,False,False,กองทุนเปิด แอสเซทพลัส เวียดนาม โกรท เพื่อการเลี้ยงชีพ,True,ASP-VIETRMF,
